Cod_atv;Atividade de Divulgação - SCN 2010;Cod_CNAE;Classe Cnae 2.0 (4 dígitos)
1300;Fabricação de produtos têxteis;1330;Fabricação de tecidos de malha
1300;Fabricação de produtos têxteis;1340;Acabamentos em fios, tecidos e artefatos têxteis
1300;Fabricação de produtos têxteis;1351;Fabricação de artefatos têxteis para uso doméstico
1300;Fabricação de produtos têxteis;1352;Fabricação de artefatos de tapeçaria
1300;Fabricação de produtos têxteis;1353;Fabricação de artefatos de cordoaria
1300;Fabricação de produtos têxteis;1354;Fabricação de tecidos especiais, inclusive artefatos
1300;Fabricação de produtos têxteis;1359;Fabricação de outros produtos têxteis não especificados anteriormente
1400;Confecção de artefatos do vestuário e acessórios;1411;Confecção de roupas íntimas
1400;Confecção de artefatos do vestuário e acessórios;1412;Confecção de peças do vestuário, exceto roupas íntimas
1400;Confecção de artefatos do vestuário e acessórios;1413;Confecção de roupas profissionais
1400;Confecção de artefatos do vestuário e acessórios;1414;Fabricação de acessórios do vestuário, exceto para segurança e proteção
1400;Confecção de artefatos do vestuário e acessórios;1421;Fabricação de meias
1400;Confecção de artefatos do vestuário e acessórios;1422;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
1500;Fabricação de calçados e de artefatos de couro;1510;Curtimento e outras preparações de couro
1500;Fabricação de calçados e de artefatos de couro;1521;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
1500;Fabricação de calçados e de artefatos de couro;1529;Fabricação de artefatos de couro não especificados anteriormente
1500;Fabricação de calçados e de artefatos de couro;1531;Fabricação de calçados de couro
1500;Fabricação de calçados e de artefatos de couro;1532;Fabricação de tênis de qualquer material
1500;Fabricação de calçados e de artefatos de couro;1533;Fabricação de calçados de material sintético
1500;Fabricação de calçados e de artefatos de couro;1539;Fabricação de calçados de materiais não especificados anteriormente
1500;Fabricação de calçados e de artefatos de couro;1540;Fabricação de partes para calçados, de qualquer material
1600;Fabricação de produtos da madeira;1610;Desdobramento de madeira
1600;Fabricação de produtos da madeira;1621;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada
1600;Fabricação de produtos da madeira;1622;Fabricação de estruturas de madeira e de artigos de carpintaria para construção
1600;Fabricação de produtos da madeira;1623;Fabricação de artefatos de tanoaria e de embalagens de madeira
1600;Fabricação de produtos da madeira;1629;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis
1700;Fabricação de celulose, papel e produtos de papel;1710;Fabricação de celulose e outras pastas para a fabricação de papel
1700;Fabricação de celulose, papel e produtos de papel;1721;Fabricação de papel
1700;Fabricação de celulose, papel e produtos de papel;1722;Fabricação de cartolina e papel-cartão
1700;Fabricação de celulose, papel e produtos de papel;1731;Fabricação de embalagens de papel
1700;Fabricação de celulose, papel e produtos de papel;1732;Fabricação de embalagens de cartolina e papel-cartão
1700;Fabricação de celulose, papel e produtos de papel;1733;Fabricação de chapas e de embalagens de papelão ondulado
1700;Fabricação de celulose, papel e produtos de papel;1741;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório
1700;Fabricação de celulose, papel e produtos de papel;1742;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário
1700;Fabricação de celulose, papel e produtos de papel;1749;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente
1800;Impressão e reprodução de gravações;1811;Impressão de jornais, livros, revistas e outras publicações periódicas
1800;Impressão e reprodução de gravações;1812;Impressão de material de segurança
1800;Impressão e reprodução de gravações;1813;Impressão de materiais para outros usos
1800;Impressão e reprodução de gravações;1821;Serviços de pré-impressão
1800;Impressão e reprodução de gravações;1822;Serviços de acabamentos gráficos
1800;Impressão e reprodução de gravações;1830;Reprodução de materiais gravados em qualquer suporte
1991;Refino de petróleo e coquerias;1910;Coquerias
1991;Refino de petróleo e coquerias;1921;Fabricação de produtos do refino de petróleo
1991;Refino de petróleo e coquerias;1922;Fabricação de produtos derivados do petróleo, exceto produtos do refino
1992;Fabricação de biocombustíveis;1931;Fabricação de álcool
1992;Fabricação de biocombustíveis;1932;Fabricação de biocombustíveis, exceto álcool
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2011;Fabricação de cloro e álcalis
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2012;Fabricação de intermediários para fertilizantes
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2013;Fabricação de adubos e fertilizantes
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2014;Fabricação de gases industriais
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2019;Fabricação de produtos químicos inorgânicos não especificados anteriormente
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2021;Fabricação de produtos petroquímicos básicos
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2022;Fabricação de intermediários para plastificantes, resinas e fibras
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2029;Fabricação de produtos químicos orgânicos não especificados anteriormente
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2031;Fabricação de resinas termoplásticas
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2032;Fabricação de resinas termofixas
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2033;Fabricação de elastômeros
2091;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;2040;Fabricação de fibras artificiais e sintéticas
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;Fabricação de defensivos agrícolas
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2052;Fabricação de desinfestantes domissanitários
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2071;Fabricação de tintas, vernizes, esmaltes e lacas
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2072;Fabricação de tintas de impressão
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2073;Fabricação de impermeabilizantes, solventes e produtos afins
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2091;Fabricação de adesivos e selantes
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2092;Fabricação de explosivos
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2093;Fabricação de aditivos de uso industrial
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2094;Fabricação de catalisadores
2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2099;Fabricação de produtos químicos não especificados anteriormente
2093;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;2061;Fabricação de sabões e detergentes sintéticos
2093;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;2062;Fabricação de produtos de limpeza e polimento
2093;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;2063;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal
2100;Fabricação de produtos farmoquímicos e farmacêuticos;2110;Fabricação de produtos farmoquímicos
2100;Fabricação de produtos farmoquímicos e farmacêuticos;2121;Fabricação de medicamentos para uso humano
2100;Fabricação de produtos farmoquímicos e farmacêuticos;2122;Fabricação de medicamentos para uso veterinário
2100;Fabricação de produtos farmoquímicos e farmacêuticos;2123;Fabricação de preparações farmacêuticas
2200;Fabricação de produtos de borracha e de material plástico;2211;Fabricação de pneumáticos e de câmaras-de-ar
2200;Fabricação de produtos de borracha e de material plástico;2212;Reforma de pneumáticos usados
2200;Fabricação de produtos de borracha e de material plástico;2219;Fabricação de artefatos de borracha não especificados anteriormente
2200;Fabricação de produtos de borracha e de material plástico;2221;Fabricação de laminados planos e tubulares de material plástico
2200;Fabricação de produtos de borracha e de material plástico;2222;Fabricação de embalagens de material plástico
2200;Fabricação de produtos de borracha e de material plástico;2223;Fabricação de tubos e acessórios de material plástico para uso na construção
2200;Fabricação de produtos de borracha e de material plástico;2229;Fabricação de artefatos de material plástico não especificados anteriormente
2300;Fabricação de produtos de minerais não-metálicos;2311;Fabricação de vidro plano e de segurança
2300;Fabricação de produtos de minerais não-metálicos;2312;Fabricação de embalagens de vidro
2300;Fabricação de produtos de minerais não-metálicos;2319;Fabricação de artigos de vidro
2300;Fabricação de produtos de minerais não-metálicos;2320;Fabricação de cimento
2300;Fabricação de produtos de minerais não-metálicos;2330;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes
2300;Fabricação de produtos de minerais não-metálicos;2341;Fabricação de produtos cerâmicos refratários
2300;Fabricação de produtos de minerais não-metálicos;2342;Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção
2300;Fabricação de produtos de minerais não-metálicos;2349;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
2300;Fabricação de produtos de minerais não-metálicos;2391;Aparelhamento e outros trabalhos em pedras
2300;Fabricação de produtos de minerais não-metálicos;2392;Fabricação de cal e gesso
2300;Fabricação de produtos de minerais não-metálicos;2399;Fabricação de produtos de minerais não-metálicos não especificados anteriormente
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2411;Produção de ferro-gusa
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2412;Produção de ferroligas
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2421;Produção de semi-acabados de aço
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2422;Produção de laminados planos de aço
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2423;Produção de laminados longos de aço
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2424;Produção de relaminados, trefilados e perfilados de aço
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2431;Produção de tubos de aço com costura
2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2439;Produção de outros tubos de ferro e aço
2492;Metalurgia de metais não-ferosos e a fundição de metais;2441;Metalurgia do alumínio e suas ligas
2492;Metalurgia de metais não-ferosos e a fundição de metais;2442;Metalurgia dos metais preciosos
2492;Metalurgia de metais não-ferosos e a fundição de metais;2443;Metalurgia do cobre
2492;Metalurgia de metais não-ferosos e a fundição de metais;2449;Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente
2492;Metalurgia de metais não-ferosos e a fundição de metais;2451;Fundição de ferro e aço
2492;Metalurgia de metais não-ferosos e a fundição de metais;2452;Fundição de metais não-ferrosos e suas ligas
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2511;Fabricação de estruturas metálicas
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2512;Fabricação de esquadrias de metal
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2513;Fabricação de obras de caldeiraria pesada
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2521;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2522;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2531;Produção de forjados de aço e de metais não-ferrosos e suas ligas
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2532;"Produção de artefatos estampados de metal; metalurgia do pó"
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2539;Serviços de usinagem, solda, tratamento e revestimento em metais
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2541;Fabricação de artigos de cutelaria
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2542;Fabricação de artigos de serralheria, exceto esquadrias
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2543;Fabricação de ferramentas
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2550;Fabricação de equipamento bélico pesado, armas de fogo e munições
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2591;Fabricação de embalagens metálicas
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2592;Fabricação de produtos de trefilados de metal
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2593;Fabricação de artigos de metal para uso doméstico e pessoal
2500;Fabricação de produtos de metal, exceto máquinas e equipamentos;2599;Fabricação de produtos de metal não especificados anteriormente
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;Fabricação de componentes eletrônicos
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2621;Fabricação de equipamentos de informática
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2622;Fabricação de periféricos para equipamentos de informática
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2631;Fabricação de equipamentos transmissores de comunicação
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2632;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2640;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2651;Fabricação de aparelhos e equipamentos de medida, teste e controle
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2652;Fabricação de cronômetros e relógios
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2660;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2670;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos
2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2680;Fabricação de mídias virgens, magnéticas e ópticas
2700;Fabricação de máquinas e equipamentos elétricos;2710;Fabricação de geradores, transformadores e motores elétricos
2700;Fabricação de máquinas e equipamentos elétricos;2721;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores
2700;Fabricação de máquinas e equipamentos elétricos;2722;Fabricação de baterias e acumuladores para veículos automotores
2700;Fabricação de máquinas e equipamentos elétricos;2731;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
2700;Fabricação de máquinas e equipamentos elétricos;2732;Fabricação de material elétrico para instalações em circuito de consumo
2700;Fabricação de máquinas e equipamentos elétricos;2733;Fabricação de fios, cabos e condutores elétricos isolados
2700;Fabricação de máquinas e equipamentos elétricos;2740;Fabricação de lâmpadas e outros equipamentos de iluminação
2700;Fabricação de máquinas e equipamentos elétricos;2751;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico
2700;Fabricação de máquinas e equipamentos elétricos;2759;Fabricação de aparelhos eletrodomésticos não especificados anteriormente
2700;Fabricação de máquinas e equipamentos elétricos;2790;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente
2800;Fabricação de máquinas e equipamentos mecânicos;2811;Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários
2800;Fabricação de máquinas e equipamentos mecânicos;2812;Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas
2800;Fabricação de máquinas e equipamentos mecânicos;2813;Fabricação de válvulas, registros e dispositivos semelhantes
2800;Fabricação de máquinas e equipamentos mecânicos;2814;Fabricação de compressores
2800;Fabricação de máquinas e equipamentos mecânicos;2815;Fabricação de equipamentos de transmissão para fins industriais
2800;Fabricação de máquinas e equipamentos mecânicos;2821;Fabricação de aparelhos e equipamentos para instalações térmicas
2800;Fabricação de máquinas e equipamentos mecânicos;2822;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas
2800;Fabricação de máquinas e equipamentos mecânicos;2823;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
2800;Fabricação de máquinas e equipamentos mecânicos;2824;Fabricação de aparelhos e equipamentos de ar condicionado
2800;Fabricação de máquinas e equipamentos mecânicos;2825;Fabricação de máquinas e equipamentos para saneamento básico e ambiental
2800;Fabricação de máquinas e equipamentos mecânicos;2829;Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente
2800;Fabricação de máquinas e equipamentos mecânicos;2831;Fabricação de tratores agrícolas
2800;Fabricação de máquinas e equipamentos mecânicos;2832;Fabricação de equipamentos para irrigação agrícola
2800;Fabricação de máquinas e equipamentos mecânicos;2833;Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação
2800;Fabricação de máquinas e equipamentos mecânicos;2840;Fabricação de máquinas-ferramenta
2800;Fabricação de máquinas e equipamentos mecânicos;2851;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo
2800;Fabricação de máquinas e equipamentos mecânicos;2852;Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo
2800;Fabricação de máquinas e equipamentos mecânicos;2853;Fabricação de tratores, exceto agrícolas
2800;Fabricação de máquinas e equipamentos mecânicos;2854;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores
2800;Fabricação de máquinas e equipamentos mecânicos;2861;Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta
2800;Fabricação de máquinas e equipamentos mecânicos;2862;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo
2800;Fabricação de máquinas e equipamentos mecânicos;2863;Fabricação de máquinas e equipamentos para a indústria têxtil
2800;Fabricação de máquinas e equipamentos mecânicos;2864;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados
2800;Fabricação de máquinas e equipamentos mecânicos;2865;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos
2800;Fabricação de máquinas e equipamentos mecânicos;2866;Fabricação de máquinas e equipamentos para a indústria do plástico
2800;Fabricação de máquinas e equipamentos mecânicos;2869;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente
2991;Fabricação de automóveis, caminhões e ônibus, exceto peças;2910;Fabricação de automóveis, camionetas e utilitários
2991;Fabricação de automóveis, caminhões e ônibus, exceto peças;2920;Fabricação de caminhões e ônibus
2991;Fabricação de automóveis, caminhões e ônibus, exceto peças;2930;Fabricação de cabines, carrocerias e reboques para veículos automotores
2992;Fabricação de peças e acessórios para veículos automotores;2941;Fabricação de peças e acessórios para o sistema motor de veículos automotores
2992;Fabricação de peças e acessórios para veículos automotores;2942;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
2992;Fabricação de peças e acessórios para veículos automotores;2943;Fabricação de peças e acessórios para o sistema de freios de veículos automotores
2992;Fabricação de peças e acessórios para veículos automotores;2944;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
2992;Fabricação de peças e acessórios para veículos automotores;2945;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias
2992;Fabricação de peças e acessórios para veículos automotores;2949;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente
2992;Fabricação de peças e acessórios para veículos automotores;2950;Recondicionamento e recuperação de motores para veículos automotores
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;Construção de embarcações e estruturas flutuantes
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3012;Construção de embarcações para esporte e lazer
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3031;Fabricação de locomotivas, vagões e outros materiais rodantes
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3032;Fabricação de peças e acessórios para veículos ferroviários
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3041;Fabricação de aeronaves
3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3042;Fabricação de turbinas, motores e outros componentes e peças para aeronaves
